postcode,state,primary_suburb,all_suburbs
2222,NSW,"PENSHURST","PENSHURST"
2223,NSW,"MORTDALE","MORTDALE"
2224,NSW,"KANGAROO POINT","KANGAROO POINT|SURREY HILLS NORTH SYLVANIA|SYLVANIA WATERS"
2225,NSW,"OYSTER BAY","OYSTER BAY"
2226,NSW,"BONNET BAY","BONNET BAY|COLLAROY PLATEAU COMO|JANNALI"
2227,NSW,"GYMEA","GYMEA|GYMEA BAY"
2228,NSW,"MIRANDA","MIRANDA|YOWIE BAY"
2229,NSW,"CARINGBAH","CARINGBAH|QLD 4735 DOLANS BAY|LILLI PILLI|PORT HACKING|QLD 4272 TAREN POINT"
2230,NSW,"BUNDEENA","BUNDEENA|BUNYA MOUNTAINS BURRANEER|CRONULLA|HAZELWOOD SOUTH|MAIANBAR|WOOLOOWARE"
2231,NSW,"KORUMBURRA SOUTH KURNELL","KORUMBURRA SOUTH KURNELL"
2232,NSW,"AUDLEY","AUDLEY|BONNIE VALE|GARIE|GOARRA|GRAYS POINT|JIBBON|KAREELA|KIRRAWEE|KIRRAWEE DC|LOFTUS|MARLEY|PALONA|SUTHERLAND|ULOOLA|WATTAMOLLA|WARUMBUL|WORONORA|YENABILLI"
2233,NSW,"ENGADINE","ENGADINE|HEATHCOTE|WATERFALL|YARRAWARRAH"
2234,NSW,"ALFORDS POINT","ALFORDS POINT|BARDEN RIDGE|BANGOR|ILLAWONG|NSW 2476 LUCAS HEIGHTS|MENAI|MENAI CENTRAL"
